,Question,Rep,type
0,Nuisible,detrimental,voc
1,Malencontreux,unfortunate,voc
2,Inadapté,"unsuitable, inappropriate, inadequate",voc
3,Mal conçu,ill-conceived,voc
4,Mal pensu,ill-advised,voc
5,facheux,unwelcome,voc
6,immoral,"unethical, immoral",voc
7,qui ne fonctionne pas,defective,voc
8,déficient,deficient,voc
9,malsain (chose),unhealthy,voc
10,malsain (personne),"unscrupulous, evil-minded, dishonest",voc
11,inefficace,"inefficient, ineffective",voc
12,"peu pertinent, hors de propos",irrelevant,voc
13,inutile,useless,voc
14,insignifiant,insignificant,voc
15,déplaisant,"unpleasant, disagreeable",voc
16,pas durable,unsustainable,voc
17,irréfléchi,short-sighted,voc
18,faible,weak,voc
19,rebutant,off-putting,voc
20,bénéfique,"beneficial, advantageous, gainful, profitable",voc
21,utile,"helpful, useful ",voc
22,approprié,"suitable, appropriate",voc
23,durable,sustainable,voc
24,pérenne,long-lasting,voc
25,sain,"healthy, fit",voc
26,solide,"robust, sturdy",voc
27,agréable,"pleasant, agreeable, satisfying",voc
28,amusant,entertaining,voc
29,fiable,reliable,voc
30,à la hauteur,"up to par, up to standard",voc
31,remarquable (chose),"remarkable, outstanding",voc
32,remarquable (personne),"honourable, respectable, upstanding, trustworthy",voc
33,"vrai, véridique",truthful,voc
34,pertinent,relevant,voc
35,exact,accurate,voc
36,sans danger,"safe, harmless",voc
37,significatif,meaningful,voc
38,impressionnant,impressive,voc
39,simple et net,clear-cut,voc
40,simple et direct,straightforward,voc
41,révolutionnaire,groundbreaking,voc
42,travailleur,hardworking,voc
43,les pieds sur terre,down-to-earth,voc
44,juste,fair,voc
45,impartial,unbiased,voc
46,équilibré,balanced,voc
47,expérimenté,"skilled, talented, experienced",voc
48,entraîné,trained,voc
49,dernier cri,state-of-the-art,voc
50,remarquable,"striking, noteworthy",voc
51,digne d'éloges,praiseworthy,voc
52,convaincant,convincing,voc
53,prometteur,"promising, encouraging",voc
54,florissant,flourishing,voc
55,prospère,thriving,voc
56,qui a de la réussite,successful,voc
57,de pointe,cutting-edge,voc
58,performant,high-performing,voc
59,stupéfiant,staggering,voc
60,majeur,"key, major",voc
61,une compagnie leader,a leading firm,voc
62,d'importance majeur,of paramount importance,voc
63,qui a de la valeur,valuable,voc
64,qui a le bras long (avoir des relations),well-connected,voc
65,rigoureux,stringent,voc
66,de haut rang,high-ranking,voc
67,puissant,powerful,voc
68,influent,influential,voc
69,principal,main,voc
70,fondamental,"fundamental, crucial",voc
71,significatif,significant,voc
72,de poids ,weighty,voc
73,mondialement ,worldwide,voc
74,de taille (figuré),tremendous,voc
75,de taille ,sizable,voc
76,pour autant que je sois concerné,as far as I am concerned ,voc
77,en guise de conclusion je dirais ,as a conclusion I would say ,voc
78,selon moi ,in my view,voc
79,pour ma part ,as for me ,voc
80,je plaide en faveur de,I argue ,voc
81,je crois,I believe,voc
82,je suggère,I suggest,voc
83,je trouve ,I find,voc
84,ma réaction est ,my reaction is ,voc
85,j'éprouve ,I feel,voc
86,une réforme de large envergure,a sweeping reform,voc
87,une chute,a sharp drop/decline,voc
88,la grande majorité ,the vast majority,voc
89,une somme importante,a hefty sum,voc
90,une priorité essentielle,a top priority,voc
91,des mesures sévères,tough measures,voc
92,un emploi à salaire élevé ,a high-paying job,voc
93,un bel avenir ,a bright future,voc
94,des mesures radicales,drastic measures,voc
95,une critique constructive,constructive criticism,voc
96,une victoire écrasante,an overwhelming victory,voc
97,un partisan convaincu de ,a staunch supporter of ,voc
98,une entreprise en plein essor ,a booming business,voc
99,des perspectives prometteuses ,rosy prospects ,voc
100,un exemple parlant,a telling example ,voc
101,un argument très convaincant,a compelling point ,voc
102,un problème endémique,a rampant problem,voc
103,un travail à bas salaire,a low-wage job,voc
104,travailleur non-qualifié,unskilled labour,voc
105,une critique mordante,scathing criticism,voc
106,les dures réalités de ,the harsh realities of ,voc
107,qui attise la peur,fearmongering,voc
108,concurrence acharnée,cut-throat competition,voc
109,une défaite écrasante,a crushing defeat,voc
110,en difficulté,a struggling business,voc
111,une réaction molle,a weak response,voc
112,être sujet de discussion ,to be food for debate,voc
113,matière à réflexion ,food for thought ,voc
114,résister à la tendance,to buck the trend,voc
115,être passé de mode,to be a thing of the past,voc
116,être entré dans les moeurs ,to be here to stay ,voc
117,cela remonte à l'origine de ,it may be traced back to ,voc
118,prendre conscience de ce que ,to wake up to the fact that ,voc
119,sensibiliser l'opinion publique à ,to raise awareness to ,voc
120,diffuser l'information sur ,to spread the word about sth ,voc
121,comprendre pleinement ,to grasp sth fully ,voc
122,il en va de même pour ,the same goes for ,voc
123,cette idée ne résiste pas à l'analyse,this idea doesn't stand up to analysis,voc
124,être un excellent exemple ,to be a case in point ,voc
125,c'est la grande inconnue ,it's anyone's guess,voc
126,ce n'est qu'un rêve incensé,it's just a pipe dream,voc
127,être impuissant face à,to be helpless when faced with,voc
128,être partagé au sujet de ,to have mixed feelings about,voc
129,il y a deux façons de voir les chosess,there are two ways of looking at this,voc
130,être du même avis,to take the same view,voc
131,être d'un autre avis ,to take a different view,voc
132,cela prouve bien que ,it goes to show that ,voc
133,pour parler franchement ,the truth of the matter is that ,voc
134,servir de leçon à ,to teach someone a lesson ,voc
135,la chose essentielle à retenir est que ,the one thing to remember is that ,voc
136,il y a tout avantage à ,there is a lot to be said for ,voc
137,ce que l'avenir réserve à ,to be in store for ,voc
138,déraper,to get out of hand ,voc
139,s'avouer vaincu ,to admit defeat ,voc
140,relativiser qqc,to put sth into perspective ,voc
141,être diamétralement opposé ,to be poles apart,voc
142,ne pas se mêler d'un problème,to wash one's hands of something ,voc
143,être la dernière goutte ,to be the last straw,voc
144,il y a urgence ! ,the clock is ticking ! ,voc
145,"arrêter le temps, revenir en arrière",to turn back the clock,voc
146,manquer de temps ,to run out of time ,voc
147,la perspective menaçante de ,the looming spectre of ,voc
148,une épée à double tranchant ,a double-edged sword ,voc
149,une solution miracle à ,a silver bullet for sth ,voc
150,trouver un juste équilibre ,to strike a proper balance ,voc
151,le juste milieu ,a happy medium ,voc
152,jouer les apprentis sorciers ,to play God (with ...),voc
153,n'être qu'un simple rouage dans le système ,to be a mere cog ine the machine ,voc
154,monter l'échelle sociale ,to climb the social ladder ,voc
155,monter l'échelle économique ,to climb the economic ladder ,voc
156,monter l'échelle de l'entreprise ,to climb de corporate ladder,voc
157,être au sommet de l'échelle sociale ,to be on the top rung of the social ladder ,voc
158,être au bas de l'échelle sociale ,to be on the bottom rung of the social ladder,voc
159,combler un écart,to bridge the gap,voc
160,élargir un écart ,to widen a gap,voc
161,un large écart entre ,a wide gap between,voc
162,un lien étroit entre ,a close link between,voc
163,franchir les barrières culturelles,to cross the cultural divide,voc
164,être sur un pied d'égalité ,to be on an equal footing,voc
165,le minimum vital ,the bare necessities of life ,voc
166,être mal en point ,to be in bad shape,voc
167,remettre les pendules à l'heure quand à qqc,to set the record straight on sth ,voc
168,un principe fondamental ,a core tenet,voc
169,une pierre angulaire de ,a cornerstone ,voc
170,un pilier de ,a pillar of ,voc
171,la dimension sacrée de ,the sanctify of ,voc
172,jouer un rôle clef dans ,to take an active part in / to play a major role in,voc
173,dépasser les limites de ,to overstep the boundaries of ,voc
174,être la chasse gardée de ,to be the preserve of ,voc
175,le retour de bâton ,the backlash,voc
176,pour le bien de ,for the sake of ,voc
177,du soir au matin ,from dawn to dusk ,voc
178,toute sa vie ,from cradle to grave ,voc
179,à bout ,to be led to the end of one's rope,voc
180,inacceptable,to be beyond the pale ,voc
181,faire la source oreille à ,to turn a blind eye to ,voc
182,tourner le dos à ,to turn one's back ON,voc
183,être profondément ancré dans ,to be deeply rooted in ,voc
184,un moment charnière ,a watershed moment ,voc
185,un tournant décisif ,a turning-point,voc
186,un point de bascule ,a tipping point ,voc
187,un point de repère ,a landmark,voc
188,un évènement majeur ,a milestone ,voc
189,au milieu de ,in the midst of ,voc
190,suite à ,in the wake of ,voc
191,à la veille de ,on the eve of ,voc
192,l'avènement de ,the dawn of ,voc
193,à l'avant-garde,at the vanguard of ,voc
194,l'âge d'or ,the heyday ,voc
195,marquer le début d'une ère nouvelle ,to usher in a new era ,voc
196,ouvrir la voie à ,to pave the way for ,voc
197,être une porte ouverte à ,to be an open door to ,voc
198,un pionnier ,a trailblazer ,voc
199,exercer de l'influence ,to wield some clout on,voc
200,la vue d'ensemble ,the big picture ,voc
201,un exploit ,a feat of ,voc
202,ne pas être un mince exploit ,to be no small feat,voc
203,"faire deux poids, deux mesures ",to apply a double standard,voc
204,un fléau ,"a scourge, a bane ",voc
205,un fardeau ,a burden ,voc
206,soulager qqn d'un fardeau ,to lift a burden off someone's shoulders ,voc
207,les défauts  ,the shortcomings,voc
208,un inconvénient,a drawback ,voc
209,porter le fardeau de ,to be burdened with ,voc
210,un mouton noir ,a bad apple ,voc
211,une entrave,an hindrance to sth,voc
212,sans entrave ,unfettered ,voc
213,sans entrave ,unhindred,voc
214,omniprésent ,ubiquitous ,voc
215,vide de sens ,devoid of meaning ,voc
216,une violation de ,an infringement on/of ,voc
217,n'avoir rien à voir avec ... ,to have little to do with ,voc
218,être en jeu ,to be at stake ,voc
219,avoir des chances de ,to be likely to ,voc
220,avoir peu de chance de ,to be unlikely to ,voc
221,les premiers stades de ,the early stages of ,voc
222,corriger un mythe ,to debunk a myth ,voc
223,une erreur courante ,a common misconception ,voc
224,donner le feu vert ,to give the green light ,voc
225,payer qqc très cher (au sens figuré),to pay a high price for ,voc
226,n'avoir rien à perdre ,to have nothing to lose ,voc
227,être au niveau ,to be up to par,voc
228,mettre en évidence ,to put in the spotlight ,voc
229,avec le recul ,with the benefit of hindsight,voc
230,soulever un tollé,to raise a public outcry,voc
231,"bouleversement, crise",upheaval ,voc
232,susciter le mécontentement,to stir up discontent,voc
233,mettre le feu aux poudres ,to stir up a hornet's nest,voc
234,la jungle du quotidien,the rat race,voc
235,se tromper de cible ,to bark up the wrong tree ,voc
236,travailler jusqu'à épuisement ,to work one's fingers to the bone ,voc
237,vieux comme le monde ,age-old ,voc
238,l'expérience prouve que ,if history is any indication ,voc
239,à son tour ,in turn ,voc
240,être livré à soi-même ,to be left to one's devices ,voc
241,une épave ,a wreck ,voc
242,causer des ravages sur ,to wreak havoc on ,voc
243,être enclin à ,to be prone to ,voc
244,atteindre le point de non-retour ,to reach one's tipping point,voc
245,négocier la délicate limite entre ... et ,to walk the thin line between ... and ,voc
246,dépasser les bornes ,to cross a line ,voc
247,où est la limite ? ,where to draw the line ?,voc
248,tirer un trait sur le passé,to draw a line over the past ,voc
249,un moindre mal ,a lesser evil ,voc
250,pour le bien de qqn ,for someone's own good ,voc
251,desserrer/resserrer les cordons de la bourse ,to tighten/loosen the purse strings ,voc
252,avoir le droit à ,to be entitled to ,voc
253,être pénible et compliqué ,to be a hassle ,voc
254,subvenir aux besoins de ,to meet the needs of ,voc
255,être comme une gifle ,to feel like a slap in the face ,voc
256,aux dépens de ,at the expense of ,voc
257,être fier de ,to take pride in ,voc
258,une solution toute faite ,a ready-made solution ,voc
259,être sur la pente descendante ,to go downhill,voc
260,un engrenage infernal,a slippery slope ,voc
261,ne pas tenir la route ,not to hold water ,voc
262,jeter un éclairage sur ,to shed light on ,voc
263,dresser un tableau à multiples facettes ,to paint a kaleidoscopic picture of ,voc
264,être le témoin de ,to bear witness to ,voc
265,fournir une explication à ,to provide an explanation for ,voc
266,vivre dans la peur ,to live in fear ,voc
267,mettre le doigt sur le noeud du problème ,to put one's finger on a problem ,voc
268,mettre le doigt sur le noeud du problème ,to pinpoint the problem ,voc
269,filer entre les doigts ,to slip through one's hands ,voc
270,"souvent, pour ne pas dire toujours ",more often than not ,voc
271,après coup ,after the fact ,voc
272,tirer la sonnette d'alarme,to sound the alarm ,voc
273,sonner le glas ,to sound the knell ,voc
274,soit-disant ,supposedly ,voc
275,la fin justifie les moyens ,the end justifies the means,voc
276,faire la une des journaux ,to hit the headlines ,voc
277,on fait beaucoup de bruit autour de ,there is a lot of media hyper around ,voc
278,faire parler de soi dans les medias ,to make the news ,voc
279,être digne de la une des journaux ,to be front-page news ,voc
280,un havre de paix ,a safe haven ,voc
281,un appel ,a call for ,voc
282,être un appel au secours ,to be a cry for help ,voc
283,grandeur et decadence de ,the rise and fall of ,voc
284,dans un avenir pas si lointain,in the near future ,voc
285,amener le changement,to bring about changes ,voc
286,vendre au plus offrant ,to sell to the highest bidder,voc
287,être sur le point de ,to be on the verge of ,voc
288,avoir des effets concrets,to make a difference ,voc
289,être sur la bonne voie ,to be on the right track ,voc
290,n'en être qu'à ses prémices ,to be in one's infancy ,voc
291,être une évidence ,to be a no-brainer ,voc
292,partir de rien,to start from scratch,voc
293,certes ,granted ,voc
294,encore moins,let alone ,voc
295,"atteindre son rythme de croisière, accélérer",gto gain momentum ,voc
296,se positionner personnellement,to take a personal stand ,voc
297,avoir son mot à dire,to have a say ,voc
298,pas de sitôt ,not anytime soon ,voc
299,avancer prudemment,to tread lightly ,voc
300,sans hésitation,without a second thoughts ,voc
301,un système de santé à deux vitesses ,a two-tier healthcare system ,voc
302,une école au sommet du tableau,a top-tier school ,voc
303,faire le jeu de ,to play right into the hands of ,voc
304,"être au point mort, dans une impasse ",to be at standstill ,voc
305,tomber dans une impasse,to reach a deadlock ,voc
306,piétiner les droits de qqn,to trample so's rights ,voc
307,chercher à corriger un problème par l'argent,to throw money at a problem ,voc
308,s'acheter une bonne conscience ,to buy oneself a clear conscience ,voc
309,être une solution de facilité ,to be an easy way out ,voc
310,se charger personnellement de qqc ,to take into one's own hands ,voc
311,mettre tout le monde au même niveau ,to level the playing field ,voc
312,faire un pas en avant ,to take a step forward ,voc
313,sur le long terme ,in the long run ,voc
314,l'aspect positif de tout problème ,the silver lining,voc
315,un écueil ,a pitfall,voc
316,un atout ,an asset,voc
317,prendre ses désirs pour des réalités ,to be mere wishful thinking,voc
318,un bourbier ,a quagmire,voc
319,craindre le pire ,to fear the worst ,voc
320,ternir l'image de ,to tarnish the image of ,voc
321,la base populaire ,the grassroots,voc
322,les temps ont changé ,times have changed ,voc
323,être en faillite ,to be on one's last legs ,voc
324,faire honneur à ,to do someone justice ,voc
325,dans un état de bienheureuse ignorance ,in blissful ignorance,voc
326,être parfaitement ignorant de qqc,to be blissfully unaware of sth ,voc
327,se dérouler / se manifester sur deux niveaux,to play out on two levels ,voc
328,contraster fortement ,to stand in sharp contrast with ,voc
329,ne pas pouvoir échapper à,to be bound to + BV ,voc
330,faire un parallèle avec ,to draw a parallel with ,voc
331,attirer l'attention sur ,to draw attention to ,voc
332,aller main dans la main avec ,to go hand in hand with ,voc
333,au bout du compte ,at the end of the day ,voc
334,"carrément, franchement ",outright ,voc
335,rien qu'en cliquant sur la souris ,at the click of a mouse ,voc
336,être clair comme de l'eau de roche ,to be crystal-clear ,voc
337,affecter très péniblement,to take one's toll / to take a heavy toll ,voc
338,dans un avenir prévisible ,for the foreseeable future ,voc
339,mener une lutte âpre contre ,to wage war on ...,voc
340,se remettre sur pieds ,to get back one's feet ,voc
341,prendre qqc à la légère,to take sth idly ,voc
342,manifester un intérêt de pure forme à qqc ,to pay lip service to sth ,voc
343,réussir avec brio ,to pass with flying colours,voc
344,être en tête de liste ,to be first in line ,voc
345,gagner du terrain,to gain ground ,voc
346,perdre du terrain ,to lose ground ,voc
347,les mauvaises habitudes ont la vie dure ,old habits die hard,voc
348,la fin justifie les moyens ,the end justifies the means ,voc
349,être les plus touchés par ,to bear the brunt of ,voc
350,lorsqu'il s'agit de ,when it comes to ,voc
351,,,voc
352,refonte,overhaul,voc
353,période d'arrêt ,downtime,voc
354,remise ,remittance,voc
355,travail acharné ,drudgery,voc
356,"courant, répandu",rife,voc
357,bazarder ,chuck out ,voc
358,surnommer ,to dub ,voc
359,abroger ,to repeal,voc
360,revenir sur ses pas ,backtrack on sth,voc
361,scélérat ,villain,voc
362,ébranler ,to sideswipe sb,voc
363,imposer qqc à qqn ,to thrust sth on sb ,voc
364,,,voc
365,Pourquoi utiliser 'one' ?,"Utilisé dans le style journalistique, 'one' permet d'avancer une opinion en douceur.",voc
366,on peut penser que ,one is inclined to believe that ,voc
367,on ne peut pas cautionner ...,one can't condone ...,voc
368,on peut se demander si ,one may wonder whether ,voc
369,on pourrait conclure en disant que ,one may sum up by saying that,voc
370,on doit reconnaître que,one must admit that ,voc
371,on peut dire que ,it is possible to say ,voc
372,on peut argumenter que ,it could be argued that,voc
373,il faut rappeler que ,it is necessary to point out that ,voc
374,il est évident que ,it is obvious that,voc
375,on comprend que ,it is understandable that,voc
376,il ne fait aucun doute que ,there is no doubt that,voc
377,on ne peut nier que ,there is no denying that ,voc
378,on pourrait craindre que ,there would be reason for fear that ,voc
379,le fait est que ,the point is that ,voc
380,c'est une évidence de dire à propos de ... que ...,the obvious point to make about ... is that ...,voc
381,tout porte à croire que ,the evidence suggests that ,voc
382,ce qui est étonnant ,the puzzling fact is that,voc
383,il semblerait que ,it seems that,voc
384,dit-on',it has been said,voc
385,on a estimé que ,it has been estimated that ,voc
386,on fera particulièrement attention à ...,particular notice must be taken of ...,voc
387,on reconnaît généralement que ...,it is universally acknowledged that ...,voc
388,plus ou moins,more or less,voc
389,il est vrai que ,admittedly,voc
390,on peut soutenir que ,arguably,voc
391,"à l'évidence, manifestement",clearly,voc
392,à peine ,hardly,voc
393,en général,generally speaking,voc
394,en général ,on the whole,voc
395,paradoxalement,ironically,voc
396,"légitimement, à juste titre",justifiably,voc
397,évidemment,obviously,voc
398,probablement,possibly,voc
399,comme on pouvait s'y attendre,predictably,voc
400,malheureusement,sadly,voc
401,malheureusement,unfortunately,voc
402,jusqu'à un certain point,to some extent,voc
403,soit disant,supposedly,voc
404,il faut dire que ,to be sure,voc
405,naturellement,understandably,voc
406,certainement,surely,voc
407,avec force,strongly,voc
408,,,voc
409,,,voc
410,,,voc
411,annoncer l'arrivée de ,to be the herald of ,voc
412,être fin prêt à ,be poised to + BV ,voc
413,se ranger du côté de ,to side with ,voc
414,éviter ,to dodge ,voc
415,être éclipsé par ,to be dwarfed by ,voc
416,critiquer sans ménagement,to lambast ,voc
417,lever le voile sur ,to unfold ,voc
418,illustrer parfaitement ,to epitomize ,voc
419,prospérer ,to thrive ,voc
420,empiéter sur ,to infringe on,voc
421,résister à,to withstand,voc
422,"dépendre de, reposer sur ",to hinge on ,voc
423,se résumer à ,to boil down to ,voc
424,se retourner contre soi ,to backfire ,voc
425,être responsable de qqc,to blame someone for sth ,voc
426,faire marche arrière sur ,to backpedal on sth ,voc
427,épargner ,to spare ,voc
428,"gêner, freiner ",to hinder ,voc
429,rattraper ,to catch up with ,voc
430,être à la traîne ,to lag behind ,voc
431,se maintenir au niveau de ,to keep up with ,voc
432,perser plus lourd que ,to outweigh ,voc
433,courir plus vite que ,to outrun ,voc
434,être plus nombreux que ,to outnumber ,voc
435,faire mieux que ,to outperform ,voc
436,faire étalage de ,to showcase ,voc
437,finir par ,to end up ,voc
438,faire boule de neige ,to snowball ,voc
439,baillonner ,to gag ,voc
440,susciter ,to be met with ,voc
441,estimer ,to deem,voc
442,être le fer de lance de ,to spearhead ,voc
443,équivaloir à ,to amount to ,voc
444,s'effondrer ,"to collapse, to crash ",voc
445,monter peu à peu ,to creep up ,voc
446,baisser progressivement,to diminish,voc
447,baisser imperceptiblement,to edge down ,voc
448,fléchir ,to fall off ,voc
449,varier ,to fluctuate ,voc
450,atteindre son niveau le plus haut ,to hit an all-time high ,voc
451,atteindre son niveau le plus bas ,to hit an all-time low ,voc
452,se stabiliser ,to level off,voc
453,atteindre un plateau ,to reach a plateau ,voc
454,se redresser ,to pick up ,voc
455,être en chute libre ,"to plummet, to plunge ",voc
456,atteindre un sommet,to reach a peak ,voc
457,être en hausse ,to be on the rise ,voc
458,augmenter de façon régulière ,to rise steadily ,voc
459,monter en flèche ,to skyrocket ,voc
460,croître à toute vitesse ,to mushroom ,voc
461,monter soudainement ,to spurt ,voc
462,réduire qqc ,to scale down ,voc
463,"les affairistes, les magouilleurs ",the wheelers-and-dealers,voc
464,les décideurs,the movers and shakers ,voc
465,la confiance ,the trust and confindence of the people ,voc
466,la morosité ,doom and gloom ,voc
467,l'ordre public ,law and order ,voc
468,"le faste, l'apparat ",the pomp and pageantry ,voc
469,être la grande fierté de ,to be the pride and joy of ,voc
470,"à notre époque, de nos jours ",in this day and age ,voc
471,le rythme frénétique ,the hustle and bustle ,voc
472,pouvoir se reposer tranquillement ,to have some peace and quiet ,voc
473,peser le pour et le contre ,to weigh up the pros and cons ,voc
474,"les rouages, le fonctionnement pratique ",the nuts and blots ,voc
475,tous les coins et recoins de ,all the nools and crannies of ,voc
476,les riches et les pauvres ,the haves and the have-nots ,voc
477,être indissociable de ,to be part and parcel of ,voc
478,"les meilleurs, les sommités ",the great and good ,voc
479,les célébrités ,the rich and famous ,voc
480,rare ,to be few and far between,voc
481,en avoir assez de ,to be sick and tired of ,voc
482,être sain et sauf ,to be safe and sound ,voc
483,être bien vivant ,to be alive and well ,voc
484,une méthode testée et approuvée,a tried-and-true method ,voc
485,globalement ,by and large ,voc
486,sans anicroche ,smooth and seamless,voc
487,une entreprise ,a firm,voc
488,PME,smal and medium-sized businesses,voc
489,une grosse société ,a corporation ,voc
490,faire des bénéfices,to make profits ,voc
491,rentable ,profitable ,voc
492,compétitivité ,competitiveness,voc
493,investir ,to invest ,voc
494,se développer ,to expand ,voc
495,un actionnaire ,a shareholder ,voc
496,réduire les effectifs ,to downsize ,voc
497,gérer une entreprise ,to run a business ,voc
498,une offre publique d'achat ,a takeover bid,voc
499,un entrepreneur,an entrepreneur ,voc
500,la bourse ,the stock market ,voc
501,capital-risque ,venture capital,voc
502,l'esprit d'entreprise ,entrepreneurship ,voc
503,comptabilité ,accounting,voc
504,être en grève ,to be on strike ,voc
505,impôt sur les sociétés ,corporate tax,voc
506,subventionner ,to subsidize,voc
507,faire faillite ,to go bankrupt,voc
508,l'informatique ,computer science ,voc
509,un jeu vidéo ,a video game ,voc
510,une touche ,a key ,voc
511,ordinateur (bureau / portable),"a computer (desktop, laptop)",voc
512,les technologies de l'information ,information technology ,voc
513,un informaticien ,computer scientist ,voc
514,informatiser ,to computerize ,voc
515,une puce électronique ,a chip ,voc
516,numérique ,digital ,voc
517,numériser ,to digitize ,voc
518,un disque dur ,a hard disk ,voc
519,une imprimante,a printer,voc
520,copier-coller ,to cut and paste ,voc
521,effacer ,to delete ,voc
522,trier ,to sort,voc
523,un logiciel ,a software programme ,voc
524,mettre à jour ,to update ,voc
525,un traitement de texte ,a word processor,voc
526,des logiciels gratuits ,freeware,voc
527,un octet ,a byte ,voc
528,un méga-octet ,a megabyte,voc
529,le changement climatique ,climate change ,voc
530,un climatologue ,a climate scientist ,voc
531,le réchauffement climatique ,global warming ,voc
532,émettre du dioxyde de carbone , to emit carbon dioxide ,voc
533,les rejets de gaz à effet de serre ,greenhouse gases emissions ,voc
534,réduire son empreinte carbone,to cut / to curb / to reduce one's carbon imprint / footprint,voc
535,prévoir ,to forecast ,voc
536,inoncder ,to flood,voc
537,la surconsommation,overconsumption ,voc
538,niveau de la mer ,sea level ,voc
539,au-dessus ,above ,voc
540,nocif ,harmful ,voc
541,être en danger ,to be at risk,voc
542,banquise ,icefield,voc
543,fondre ,to thaw ,voc
544,nappe phréatique ,ground water,voc
545,taxe verte ,green tax ,voc
546,isoler ,to insulate ,voc
547,le commerce des droits d'émissions du carbone ,carbon trading ,voc
548,pôle Nord / Sud ,the North / South Pole,voc
549,une élévation du niveau de la mer ,a rise in sea level ,voc
550,une carrière ,a career ,voc
551,le monde du travail ,the world of work ,voc
552,le lieu du travail,the workplace,voc
553,licencier ,to dismiss sb ,voc
554,un ouvrier ,a blue-collar worker ,voc
555,un employé de bureau,a white-collar worker ,voc
556,un fonctionnaire ,a state employee or a civil servant,voc
557,un employé de bureau,an employee ,voc
558,un employeur ,an employer,voc
559,un demandeur d'emploi ,a job-seeker,voc
560,un CV ,a CV (curriculum vitae) ,voc
561,les conditions de travail ,working conditions ,voc
